order,domain,arm,channel,dice_percent
2,REFUGE_Valid,K_MAG,OC,61.933773609371
2,REFUGE_Valid,K_MAG,macro,71.39332208983382
2,REFUGE_Valid,K_FREE,OD,80.98417164321673
2,REFUGE_Valid,K_FREE,OC,61.929579843077356
2,REFUGE_Valid,K_FREE,macro,71.45687574314704
2,REFUGE_Valid,G_BOUND,OD,81.03811986135265
2,REFUGE_Valid,G_BOUND,OC,62.522232555191316
2,REFUGE_Valid,G_BOUND,macro,71.78017620827198
2,REFUGE_Valid,G_CONST,OD,80.97951325046466
2,REFUGE_Valid,G_CONST,OC,62.448763167248195
2,REFUGE_Valid,G_CONST,macro,71.71413820885644
2,REFUGE_Valid,G_SHUFFLE,OD,80.9954178198155
2,REFUGE_Valid,G_SHUFFLE,OC,62.444711423303765
2,REFUGE_Valid,G_SHUFFLE,macro,71.72006462155963
2,REFUGE_Valid,G_GLOBAL,OD,81.16488242113492
2,REFUGE_Valid,G_GLOBAL,OC,62.60726725213938
2,REFUGE_Valid,G_GLOBAL,macro,71.88607483663715
2,Drishti_GS,C,OD,89.77479869514293
2,Drishti_GS,C,OC,64.4080646100431
2,Drishti_GS,C,macro,77.09143165259302
2,Drishti_GS,RP,OD,89.74844229965794
2,Drishti_GS,RP,OC,65.210776481539
2,Drishti_GS,RP,macro,77.47960939059848
2,Drishti_GS,MT,OD,88.28287993202177
2,Drishti_GS,MT,OC,63.01222152609955
2,Drishti_GS,MT,macro,75.64755072906065
2,Drishti_GS,MT_RP,OD,88.26436829429275
2,Drishti_GS,MT_RP,OC,63.93205594115529
2,Drishti_GS,MT_RP,macro,76.09821211772403
2,Drishti_GS,FT,OD,85.99945988186238
2,Drishti_GS,FT,OC,60.78103731221403
2,Drishti_GS,FT,macro,73.39024859703821
2,Drishti_GS,FT_RP,OD,85.95593263649721
2,Drishti_GS,FT_RP,OC,61.56475185584112
2,Drishti_GS,FT_RP,macro,73.76034224616916
2,Drishti_GS,KDG,OD,89.97059272595565
2,Drishti_GS,KDG,OC,64.4856883463091
2,Drishti_GS,KDG,macro,77.22814053613237
2,Drishti_GS,K_ALL,OD,89.9710139140351
2,Drishti_GS,K_ALL,OC,64.4810717580801
2,Drishti_GS,K_ALL,macro,77.22604283605762
2,Drishti_GS,K_MAG,OD,89.77552762080258
2,Drishti_GS,K_MAG,OC,64.40433726451768
2,Drishti_GS,K_MAG,macro,77.08993244266013
2,Drishti_GS,K_FREE,OD,89.79750241236931
2,Drishti_GS,K_FREE,OC,64.50419576846505
2,Drishti_GS,K_FREE,macro,77.15084909041717
2,Drishti_GS,G_BOUND,OD,89.51220179132021
2,Drishti_GS,G_BOUND,OC,64.12226292518858
2,Drishti_GS,G_BOUND,macro,76.81723235825442
2,Drishti_GS,G_CONST,OD,89.35391668756644
2,Drishti_GS,G_CONST,OC,64.10424384057092
